Premier Football,NFL,NHL,NBA,MLS
http://www.stadium-maps.com/facts/epl_facebook_table.html,https://www.wsn.com/nfl/least-most-popular-nfl-teams-facebook/,http://www.stadium-maps.com/facts/nhl_facebook_table.html,http://www.stadium-maps.com/facts/nba-teams-popularity.html,http://www.stadium-maps.com/facts/mls_facebook_table.html
73232586,15489000,2867678,15400000,2289095
47999496,15414000,2211511,15300000,2248800
37914272,11962000,2062579,8400000,991653
37805765,9314000,2029284,5700000,743591
34035421,8540000,1640600,5300000,615608
11501946,8384000,1537175,5100000,438000
6639854,8041000,1380450,4600000,377001
3120266,7831000,1179137,4500000,352458
3061035,7520000,1033870,3300000,337014
2613918,6868000,971448,3200000,336155
2321132,6744000,956423,3100000,336048
2169396,6735000,804263,3100000,321083
1096932,6390000,762986,2500000,310986
937312,5296000,745089,2500000,288649
863196,5194000,651986,2300000,283197
821413,4731000,580124,2100000,263708
696755,4306000,564299,2000000,218344
431692,4179000,503525,2000000,218906
356168,3922000,483601,1900000,213285
307583,3882000,477853,1900000,211773
,3855000,424352,1600000,192947
,3799000,409899,1400000,191067
,3783000,394482,1400000,178838
,3436000,384363,1400000,94380
,3073000,349888,1300000,85937
,2772000,335522,1200000,31778
,2540000,317671,1200000,
,2449000,304074,1200000,
,2388000,300605,1000000,
,2154000,285188,1000000,
,2117000,197721,,
,1752000,,,
